"publication_id","experiment_id","treatment_id","nsamp","t1","t2","w1","w2","errorw1","errorw2","igr.mu","igr.sd","fr.mu","fr.sd","prey_type","exp_id","experiment","t","main_prey","Rcomma","Temperature","case"
"dom_01b",2,4,20,0,10,0.17,0.52,0.05,0.14,11.18,0.3,NA,NA,"mysids","dom_01b_2_4","dom_01b_2",5,"medium_shrimp",1,27,2
"dom_01b",2,4,20,10,20,NA,NA,NA,NA,9.39,0.903159326865775,NA,NA,"grass_shrimp","dom_01b_2_4","dom_01b_2",15,"medium_shrimp",1,27,3
"dom_01b",2,4,20,20,30,NA,3.468208,27.97687,1.387284,9.53,0.760087183020116,NA,NA,"grass_shrimp","dom_01b_2_4","dom_01b_2",25,"medium_shrimp",1,27,3
"dom_01b",2,4,20,30,40,3.468208,6.011561,1.387284,2.312139,5.58,0.7,NA,NA,"grass_shrimp","dom_01b_2_4","dom_01b_2",35,"medium_shrimp",1,27,2
"dom_01b",2,4,20,40,50,6.011561,14.10405,2.312139,3.69942,8.48,0.5,NA,NA,"grass_shrimp","dom_01b_2_4","dom_01b_2",45,"medium_shrimp",1,27,2
"dom_01b",2,4,20,50,60,14.10405,23.58382,3.69942,8.32369,5.12,2.3,NA,NA,"grass_shrimp","dom_01b_2_4","dom_01b_2",55,"medium_shrimp",1,27,2
"dom_01b",2,4,20,60,70,23.58382,38.84393,8.32369,8.3237,5.06,0.3,NA,NA,"crabs","dom_01b_2_4","dom_01b_2",65,"medium_shrimp",1,27,2
"dom_01b",2,4,20,70,80,38.84393,51.56069,8.3237,7.63006,2.76,0.1,NA,NA,"crabs","dom_01b_2_4","dom_01b_2",75,"medium_shrimp",1,27,2
"dom_01b",2,4,20,80,90,51.56069,64.73988,7.63006,9.94219,2.32,0.5,NA,NA,"crabs","dom_01b_2_4","dom_01b_2",85,"medium_shrimp",1,27,2
"dom_02",1,1,30,0,10,0.22,NA,0.017,NA,7.615385,1.89452900701509,NA,NA,"mysids","dom_02_1_1","dom_02_1",5,"medium_shrimp",1,27,3
"dom_02",1,1,30,10,20,NA,NA,NA,NA,11.40659,1.58269366138005,NA,NA,"mysids","dom_02_1_1","dom_02_1",15,"medium_shrimp",1,27,3
"dom_02",1,1,30,20,30,NA,NA,NA,NA,11.76923,1.36006329136953,NA,NA,"grass_shrimp","dom_02_1_1","dom_02_1",25,"medium_shrimp",1,27,3
"dom_02",1,1,30,30,40,5.171504,13.29815,4.432718,5.1715,9.296703,1.3,NA,NA,"grass_shrimp","dom_02_1_1","dom_02_1",35,"medium_shrimp",1,27,2
"dom_02",1,1,30,40,50,13.29815,24.37995,5.1715,8.12664,6.659341,0.1,NA,NA,"grass_shrimp","dom_02_1_1","dom_02_1",45,"medium_shrimp",1,27,2
"dom_02",1,1,30,50,60,24.37995,43.58839,8.12664,12.55936,5.920398,0.1,NA,NA,"grass_shrimp","dom_02_1_1","dom_02_1",55,"medium_shrimp",1,27,2
"dom_02",1,1,30,60,70,43.58839,54.67018,12.55936,14.77572,2.577114,0.5,NA,NA,"grass_shrimp","dom_02_1_1","dom_02_1",65,"medium_shrimp",1,27,2
"dom_02",1,1,30,70,80,54.67018,67.96834,14.77572,22.90238,2.263682,1.9,NA,NA,"grass_shrimp","dom_02_1_1","dom_02_1",75,"medium_shrimp",1,27,2
"dom_02",1,1,30,80,90,67.96834,82.74406,22.90238,25.11873,1.845771,0.1,NA,NA,"grass_shrimp","dom_02_1_1","dom_02_1",85,"medium_shrimp",1,27,2
"dom_02",1,1,30,90,100,82.74406,98.99736,25.11873,36.9393,1.845771,2.3,NA,NA,"grass_shrimp","dom_02_1_1","dom_02_1",95,"medium_shrimp",1,27,2
