"publication_id","experiment_id","treatment_id","nsamp","t1","t2","w1","w2","errorw1","errorw2","igr.mu","igr.sd","fr.mu","fr.sd","prey_type","exp_id","experiment","t","main_prey","Rcomma","Temperature","case","z1","z2","Index.t","Index.e","Index.no","Index.food"
"kou_01",1,2,12,4,14,NA,NA,NA,NA,0.3003413,0.1638225,1,NA,"mysids;crangon","kou_01_1_2","kou_01_1",9,"shrimp_mix",0.0285714285714286,20,1,0.0171428571428571,0.517241379310345,41,4,1,4
"syk_06",1,1,27,30,40,NA,NA,NA,NA,5.183727,0.900010653969702,NA,NA,"grass shrimp","syk_06_1_1","syk_06_1",35,"medium_shrimp",1,17,3,0.599999999999999,0.310344827586207,30,21,1,3
"kou_02",1,1,40,19,26,0.3478992,0.6352941,0.1210084,0.1915966,8.79645081558672,0.2,NA,NA,"crangon","kou_02_1_1","kou_02_1",22.5,"medium_shrimp",1.14285714285714,20,4,0.685714285714283,0.517241379310345,42,27,1,3
"dom_04",1,2,90,15,22,0.257,0.491,0.055,0.088,8.6,0.3,NA,NA,"grass_shrimp","dom_04_1_2","dom_04_1",18.5,"medium_shrimp",1,20,1,0.599999999999999,0.517241379310345,40,7,1,3
"syk_06",3,3,35,36,42,NA,NA,NA,NA,1.688312,0.953574782122052,NA,NA,"grass shrimp","syk_06_3_3","syk_06_3",39,"medium_shrimp",1,15,3,0.599999999999999,0.172413793103448,18,14,1,3
"dom_01b",1,2,30,20,30,NA,NA,NA,NA,11.77,1.36016145721987,NA,NA,"grass_shrimp","dom_01b_1_2","dom_01b_1",25,"medium_shrimp",1,27,3,0.599999999999999,1,16,12,1,3
"dom_02",1,1,30,0,10,0.22,NA,0.017,NA,7.615385,1.89452900701509,NA,NA,"mysids","dom_02_1_1","dom_02_1",5,"medium_shrimp",1,27,3,0.599999999999999,1,36,25,1,3
"kou_01",1,9,12,14,24,NA,NA,NA,NA,9.556314,0.464160000000001,22,NA,"mysids;crangon","kou_01_1_9","kou_01_1",19,"shrimp_mix",1,20,1,0.599999999999999,0.517241379310345,19,4,1,4
"syk_03",2,5,40,1,6,0.07658643,0.09190372,0.0428884,0.0428884,5.192982,2.45614,NA,NA,"grass shrimp","syk_03_2_5","syk_03_2",3.5,"medium_shrimp",1,23,1,0.599999999999999,0.724137931034483,43,16,1,3
"cor_08b",2,1,60,36,43,NA,NA,NA,NA,4.6,0.5,9.9,0.1,"grass shrimp","cor_08b_2_1","cor_08b_2",39.5,"medium_shrimp",0.428571428571429,18.5,1,0.257142857142857,0.413793103448276,26,8,1,3
"kou_99",1,3,6,26,36,1.88474,5.215909,0.569805,0.599026,10.5510278254222,0.4,14.91,1.22,"mysids;gammarus;shrimps","kou_99_1_3","kou_99_1",31,"shrimp_mix",1,19,4,0.599999999999999,0.448275862068966,44,24,1,4
"kou_01",1,3,12,14,24,NA,NA,NA,NA,0.05460751,0.1911263,3,NA,"mysids;crangon","kou_01_1_3","kou_01_1",19,"shrimp_mix",0.0857142857142857,20,1,0.0514285714285713,0.517241379310345,14,4,1,4
"kou_01",1,5,12,24,44,NA,NA,NA,NA,0.8464164,0.245734,6,NA,"mysids;crangon","kou_01_1_5","kou_01_1",34,"shrimp_mix",0.285714285714286,20,1,0.171428571428571,0.517241379310345,34,4,1,4
"syk_03",1,1,18,16,21,0.3215859,0.4977974,0.1938326,0.2819384,7.422907,4.779734,NA,NA,"grass shrimp","syk_03_1_1","syk_03_1",18.5,"medium_shrimp",1,23,1,0.599999999999999,0.724137931034483,39,26,1,3
"kou_01",1,2,12,14,24,NA,NA,NA,NA,-0.2457338,0.2730375,1,NA,"mysids;crangon","kou_01_1_2","kou_01_1",19,"shrimp_mix",0.0285714285714286,20,1,0.0171428571428571,0.517241379310345,41,4,1,4
"kou_99",1,2,6,26,36,1.840909,4.076299,0.540585,0.511364,8.284796020962,0.8,13.62,1.51,"mysids;gammarus;shrimps","kou_99_1_2","kou_99_1",31,"shrimp_mix",0.857142857142857,19,4,0.514285714285713,0.448275862068966,45,24,1,4
"bae_10",1,2,30,0,7,0.102,0.15,0.018,0.0247573,5.53653665582287,0.1,NA,NA,"gammarids","bae_10_1_2","bae_10_1",3.5,"amphipods",1,20.5,4,0.599999999999999,0.551724137931034,20,1,1,5
"kou_02",1,1,40,26,29,0.6352941,0.7210084,0.1915966,0.0554622000000001,5.57131844436317,1.7,NA,NA,"crangon","kou_02_1_1","kou_02_1",27.5,"medium_shrimp",1.14285714285714,20,4,0.685714285714283,0.517241379310345,42,27,1,3
"bae_10",1,3,30,0,7,0.102,0.1587379,0.018,0.0291262,6.30083699002775,0.3,NA,NA,"mysids","bae_10_1_3","bae_10_1",3.5,"small_shrimp",1,20.5,4,0.599999999999999,0.551724137931034,1,1,1,1
"lep_15",1,1,32,1,8,0.1975309,0.2746914,0.03703704,0.02160494,4.91351327905365,0.4,NA,NA,"crangon","lep_15_1_1","lep_15_1",4.5,"medium_shrimp",1,17.5,4,0.599999999999999,0.344827586206897,46,28,1,3
"dom_01a",1,1,17,10,20,NA,NA,NA,NA,9.8,1.8,22,7.9,"grass_shrimp","dom_01a_1_1","dom_01a_1",15,"medium_shrimp",1,27,1,0.599999999999999,1,28,19,1,3
"kou_01",1,6,12,4,14,NA,NA,NA,NA,7.617747,1.365188,15,NA,"mysids;crangon","kou_01_1_6","kou_01_1",9,"shrimp_mix",0.571428571428571,20,1,0.342857142857142,0.517241379310345,4,4,1,4
"cor_08",1,2,30,20,27,2.416107,2.852349,0.268457,0.201342,4.212389,0.681416,11.5,0.2,"starved_shrimp","cor_08_1_2","cor_08_1",23.5,"starved shrimp",1,18.5,1,0.599999999999999,0.413793103448276,37,3,1,6
"syk_13",1,1,50,30,35,NA,NA,NA,NA,4.662651,0.578313,NA,NA,"grass shrimp","syk_13_1_1","syk_13_1",32.5,"medium_shrimp",1,24,1,0.599999999999999,0.793103448275862,6,6,1,3
"dom_04",1,3,90,22,29,0.173,0.209,0.051,0.054,3.4,0.05,NA,NA,"fish_fry","dom_04_1_3","dom_04_1",25.5,"fish",1,20,1,0.599999999999999,0.517241379310345,47,7,1,2
"kou_99",1,1,6,26,36,1.241883,2.600649,0.336039,0.423701,7.61364483388046,0.1,10.95,1.07,"mysids;gammarus;shrimps","kou_99_1_1","kou_99_1",31,"shrimp_mix",0.6,19,4,0.359999999999999,0.448275862068966,33,24,1,4
"kou_01",1,8,12,14,24,NA,NA,NA,NA,9.720137,1.63823,20,NA,"mysids;crangon","kou_01_1_8","kou_01_1",19,"shrimp_mix",0.857142857142857,20,1,0.514285714285713,0.517241379310345,48,4,1,4
"lep_15",1,1,32,8,15,0.2746914,0.3641975,0.02160494,0.07098765,3.80696448940686,2.6,NA,NA,"crangon","lep_15_1_1","lep_15_1",11.5,"medium_shrimp",1,17.5,4,0.599999999999999,0.344827586206897,46,28,1,3
"dom_03a",1,1,24,1,5,0.233,0.3,0.05,0.1578948,3.82486001040664,5,NA,NA,"crangon","dom_03a_1_1","dom_03a_1",3,"medium_shrimp",0.714285714285714,19,4,0.428571428571427,0.448275862068966,27,18,1,3
