doi;first_author;year;facility;experiment;treatment;exp_id;included;reason_for_exclusion;t_initial;t_final;Temperature;weaning_prey;weaning_duration;main_prey;prey_status;ration_bw_perc;egg type;photoperiod;volume_l;animal_per_tank;density_animals_liter;notes
https://doi.org/10.1016/S0022-0981(01)00319-7;Koueta N;2001;Marine station of Luc sur-mer (France);1;9;kou_01_1_9;y;;4;45;20;mysids;5;mysids/crangon;live;35;wild spawner laid in lab;12:12;8;1;0.125;
https://doi.org/10.1016/S0022-0981(01)00319-7;Koueta N;2001;Marine station of Luc sur-mer (France);1;10;kou_01_1_10;y;;4;45;20;mysids;5;mysids/crangon;live;40;wild spawner laid in lab;12:12;8;1;0.125;
https://doi.org/10.1016/S0022-0981(01)00319-7;Koueta N;2001;Marine station of Luc sur-mer (France);1;11;kou_01_1_11;y;;4;45;20;mysids;5;mysids/crangon;live;50;wild spawner laid in lab;12:12;8;1;0.125;
https://doi.org/10.1016/S0044-8486(01)00640-8;Koueta N;2002;Marine station of Luc sur-mer (France);1;1;kou_02_1_1;y;;5;30;20;mysids;5;crangon;live;40;wild spawner laid in lab;12:12;8;4;0.5;
https://doi.org/10.1016/S0044-8486(01)00640-8;Koueta N;2002;Marine station of Luc sur-mer (France);1;2;kou_02_1_2;n;enriched weaning;5;30;20;mysids;5;enriched crangon;live;40;wild spawner laid in lab;12:12;8;4;0.5;
https://doi.org/10.1016/S0044-8486(01)00640-8;Koueta N;2002;Marine station of Luc sur-mer (France);1;3;kou_02_1_3;n;enriched weaning;5;30;20;mysids;5;enriched crangon;live;40;wild spawner laid in lab;12:12;8;4;0.5;
https://doi.org/10.1016/S0044-8486(01)00640-8;Koueta N;2002;Marine station of Luc sur-mer (France);2;4;kou_02_2_4;y;;5;30;20;mysids;5;mysids;live;40;wild spawner laid in lab;12:12;8;4;0.5;
https://doi.org/10.1016/S0044-8486(01)00640-8;Koueta N;2002;Marine station of Luc sur-mer (France);2;5;kou_02_2_5;n;enriched diet;5;30;20;mysids;5;enriched mysids;live;40;wild spawner laid in lab;12:12;8;4;0.5;
https://doi.org/10.1016/S0044-8486(01)00640-8;Koueta N;2002;Marine station of Luc sur-mer (France);3;6;kou_02_3_6;y;;5;35;20;mysids;5;crangon;live;40;wild spawner laid in lab;12:12;8;4;0.5;
https://doi.org/10.1016/S0044-8486(01)00640-8;Koueta N;2002;Marine station of Luc sur-mer (France);3;7;kou_02_3_7;n;enriched weaning;5;35;20;mysids;5;enriched crangon;live;40;wild spawner laid in lab;12:12;8;4;0.5;
