"mean","sd","var","distr"
22.16970215,2.59265001785585,"mean_sigma","22.17 , 2.59"
1.7357219695,0.519502227393194,"sigma_sigma","1.74 , 0.52"
2.73727948,0.0813279400313599,"log_mu","2.74 , 0.08"
1.1749594293,0.32139435205368,"log_a","1.17 , 0.32"
9.787128265,0.580648400484951,"sigma_obs","9.79 , 0.58"
-0.6721157555,0.139381981365108,"log_bF","-0.67 , 0.14"
1.517755701,0.294834181465382,"log_bT1","1.52 , 0.29"
-0.3590730277215,0.374601120661549,"log_bT2","-0.36 , 0.37"
1.82339181,0.106011497490244,"obs_error[1]","1.82 , 0.11"
2.937425605,0.116129675088894,"obs_error[2]","2.94 , 0.12"
1.933905605,0.106011292712736,"obs_error[3]","1.93 , 0.11"
3.03023052,0.167618786366866,"obs_error[4]","3.03 , 0.17"
1.46375011,0.082116075704654,"obs_error[5]","1.46 , 0.08"
1.56301545,0.0821161893165497,"obs_error[6]","1.56 , 0.08"
1.073817702,0.0612057785375155,"obs_error[7]","1.07 , 0.06"
1.328062585,0.0749614002853078,"obs_error[8]","1.33 , 0.07"
2.91200157,0.167618703946461,"obs_error[9]","2.91 , 0.17"
1.81868805,0.0967747228448025,"obs_error[10]","1.82 , 0.1"
1.269967795,0.0749612641679074,"obs_error[11]","1.27 , 0.07"
3.44797162,0.167618686571395,"obs_error[12]","3.45 , 0.17"
3.203632315,0.167618676335661,"obs_error[13]","3.2 , 0.17"
1.805134355,0.106011321341214,"obs_error[14]","1.81 , 0.11"
2.88047378,0.167618787829492,"obs_error[15]","2.88 , 0.17"
2.919883425,0.16761887502024,"obs_error[16]","2.92 , 0.17"
2.075657515,0.106011406398642,"obs_error[17]","2.08 , 0.11"
1.46078316,0.0821161654050213,"obs_error[18]","1.46 , 0.08"
1.70757704,0.0967747566465574,"obs_error[19]","1.71 , 0.1"
1.302242715,0.0749614222690116,"obs_error[20]","1.3 , 0.07"
2.255550365,0.129836923963983,"obs_error[21]","2.26 , 0.13"
1.771863675,0.0981475218075467,"obs_error[22]","1.77 , 0.1"
2.99082112,0.167618753925327,"obs_error[23]","2.99 , 0.17"
2.137425605,0.116129675088894,"obs_error[24]","2.14 , 0.12"
1.805134355,0.106011321341214,"obs_error[25]","1.81 , 0.11"
2.35048871,0.10601149769321,"obs_error[26]","2.35 , 0.11"
1.69727315,0.0918085436706354,"obs_error[27]","1.7 , 0.09"
2.577425605,0.116129675088894,"obs_error[28]","2.58 , 0.12"
1.78396594,0.096774792641275,"obs_error[29]","1.78 , 0.1"
1.951193745,0.106011454803242,"obs_error[30]","1.95 , 0.11"
2.34499331,0.129836958703085,"obs_error[31]","2.34 , 0.13"
2.536837205,0.149922832518577,"obs_error[32]","2.54 , 0.15"
1.511683255,0.0821161588679633,"obs_error[33]","1.51 , 0.08"
1.366792385,0.0749614030287173,"obs_error[34]","1.37 , 0.07"
1.073817702,0.0612057785375155,"obs_error[35]","1.07 , 0.06"
2.018201545,0.118524367416573,"obs_error[36]","2.02 , 0.12"
1.506787785,0.0821160606577833,"obs_error[37]","1.51 , 0.08"
